project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,7500.0,0.0,DSF: 0000866428,False
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,110000.0,0.0,DSF: 0000866428,False
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500.0,0.0,DSF: 0000866428,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,Complete,05/13/2014,09/26/2014,09/10/2014,8017,23855.0,23855.0,DSF: 0000799913,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,Complete,10/15/2014,03/20/2015,04/28/2015,29395,80349.0,64886.0,DSF: 0000799913,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,In-Progress,06/02/2017,02/26/2018,,311317,272329.0,104.0,DSF: 0000799913,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",In-Progress,06/02/2017,02/26/2018,,72151,36406.0,20060.0,DSF: 0000799913,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000867305,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,26880,26880.0,0.0,DSF: 0000867305,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,394240,394240.0,0.0,DSF: 0000867305,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,26880,26880.0,0.0,DSF: 0000867305,False
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0.0,0.0,DSF: 0000867312,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0.0,0.0,DSF: 0000867312,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0.0,0.0,DSF: 0000867312,True
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0.0,0.0,DSF: 0000867312,True
10,X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,01/31/2018,,50000,49620.0,49620.0,DSF: 0000845056,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,Complete,04/30/2013,09/13/2013,06/21/2013,43040,41498.0,41498.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,Complete,07/17/2013,12/18/2013,02/03/2014,150640,204664.0,204664.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,In-Progress,04/10/2014,10/01/2015,,2442520,2294926.0,1527373.0,DSF: 0000775984,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",In-Progress,04/10/2014,10/01/2015,,172160,473323.0,473323.0,DSF: 0000775984,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,06/29/2016,10/28/2016,01/17/2017,6840,22583.0,22583.0,DSF: 0000843858,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/17/2017,07/17/2017,04/20/2017,25080,59165.0,59165.0,DSF: 0000843858,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/26/2017,04/01/2018,,265620,238433.0,6283.0,DSF: 0000843858,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/26/2017,04/01/2018,,243952,213552.0,12476.0,DSF: 0000843858,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866411,True
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,51000,51000.0,0.0,DSF: 0000866411,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,748000,748000.0,0.0,DSF: 0000866411,False
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,51000,51000.0,0.0,DSF: 0000866411,False
10,X430,KINGSBRIDGE INTERNATIONAL HS -,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,65000,65000.0,0.0,DSF: 0000798838,False
10,X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,06/12/2017,DOES,,DOES,161827.0,161827.0,DSF: 0000865882,False
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,Complete,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",True
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,Complete,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,In-Progress,09/08/2014,09/06/2018,,56872126,53590274.0,50017110.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",In-Progress,09/08/2014,09/06/2018,,3538709,1715406.0,1702617.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,09/16/2016,01/20/2017,01/25/2017,9144,17497.0,17497.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/25/2017,07/25/2017,04/20/2017,33528,44436.0,44436.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/15/2017,03/11/2018,,355094,316535.0,7533.0,DSF: 0000843859,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/15/2017,03/11/2018,,266901,228362.0,17433.0,DSF: 0000843859,False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,66000,66000.0,0.0,DSF: 0000866424,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,01/14/2016,05/16/2016,04/20/2016,0,26643.0,26643.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,06/01/2016,10/17/2016,10/14/2016,156000,106569.0,106569.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,11/07/2017,08/03/2018,,2288000,1984152.0,26852.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",In-Progress,11/07/2017,08/03/2018,,156000,39526.0,39526.0,DSF: 0000822352,False
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,Complete,10/19/2016,IEH,07/01/2017,IEH,24240.0,5192.0,DSF: 0000043425,False
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,Complete,04/06/2017,IEH,08/09/2017,IEH,21800.0,1894.0,DSF: 0000046168,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,Complete,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,Complete,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,In-Progress,07/07/2016,01/02/2019,,30587626,28356246.0,16038131.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",In-Progress,07/07/2016,01/02/2019,,1903230,592325.0,578567.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,Complete,11/22/2013,03/21/2014,03/03/2014,60456,61373.0,61373.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,Complete,03/28/2014,09/26/2014,09/23/2014,241822,269123.0,259555.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Construction,PNS,PNS,PNS,PNS,4534167,4534167.0,37125.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,282126,282126.0,41815.0,DSF: 0000774374,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,10/24/2017,02/23/2018,11/30/2017,12874,1572.0,1572.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/30/2017,05/29/2018,,47204,47204.0,6287.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,499934,499934.0,0.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,170459,170459.0,457.0,DSF: 0000867078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,Complete,01/26/2015,05/27/2015,04/02/2015,0,34470.0,34470.0,DSF: 0000800078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,13666,191926.0,0.0,DSF: 0000800078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,200432,3320479.0,0.0,DSF: 0000800078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,13666,226396.0,0.0,DSF: 0000800078,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,In-Progress,01/26/2015,05/27/2015,,0,5978.0,0.0,DSF: 0000800415,True
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,12000,6022.0,0.0,DSF: 0000800415,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,176000.0,0.0,DSF: 0000800415,False
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000.0,0.0,DSF: 0000800415,False
10,X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,In-Progress,11/27/2017,IEH,,IEH,46420.0,7392.0,DSF: 0000049508,False
10,X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,06/01/2017,DOEL,,DOEL,800.0,0.0,DSF:,False
10,X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,In-Progress,07/14/2017,DOER,,84515,84515.0,84515.0,DSF: 0000845041,False
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,606.0,DSF: 0000866080,False
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,11/30/2017,DOES,,DOES,962300.0,0.0,DSF: 0000867029,True
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,Complete,05/06/2015,05/13/2015,05/13/2015,229175,168448.0,168448.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,Complete,05/14/2015,09/22/2015,12/30/2015,733360,783855.0,623316.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,Complete,03/18/2016,09/08/2017,09/05/2017,10285374,10060052.0,9878486.0,DSF: 0000822032,False
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",Complete,03/18/2016,09/08/2017,09/05/2017,1811017,1406947.0,1339927.0,DSF: 0000822032,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,Complete,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,Complete,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,In-Progress,07/12/2016,07/11/2018,,10108126,9180781.0,6970617.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",In-Progress,07/12/2016,07/11/2018,,636575,518837.0,449797.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,Complete,04/07/2017,08/08/2017,06/13/2017,20818,24058.0,24058.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,Complete,07/19/2017,12/05/2017,12/07/2017,83273,102866.0,96356.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Construction,PNS,PNS,PNS,PNS,1561366,1561366.0,23938.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,"CM, F&E",PNS,PNS,PNS,PNS,97152,97152.0,18765.0,DSF: 0000864171,False
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,Complete,02/27/2017,IEH,07/15/2017,IEH,66649.0,6304.0,DSF: 0000045438,False
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,07/20/2017,IEH,08/04/2017,IEH,41408.0,6724.0,DSF: 0000047766,False
10,X445,BRONX HS OF SCIENCE - X,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,50000,50000.0,0.0,DSF: 0000798839,False
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/28/2017,02/15/2018,,1156096,1156096.0,9609.0,DSF: 0000798176,True
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,3699508,3699508.0,38434.0,DSF: 0000798176,False
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,51885601,51885601.0,6917.0,DSF: 0000798176,False
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,7306528,7306528.0,21037.0,DSF: 0000798176,False
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,Complete,12/11/2017,12/11/2017,12/11/2017,30000,0.0,0.0,DSF: 0000798176,True
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,In-Progress,12/11/2017,03/20/2018,,110000,110000.0,0.0,DSF: 0000798176,True
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Construction,PNS,PNS,PNS,PNS,1165000,1165000.0,0.0,DSF: 0000798176,False
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,"CM, F&E",PNS,PNS,PNS,PNS,270000,270000.0,116.0,DSF: 0000798176,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,06/01/2012,10/17/2012,10/19/2012,110940,103978.0,103978.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,03/27/2013,09/26/2013,11/08/2013,388290,329925.0,316570.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,04/07/2014,01/26/2016,01/30/2017,6295845,6201593.0,5989027.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,04/07/2014,01/26/2016,01/30/2017,551018,595580.0,594538.0,DSF: 0000753048,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,4500,4500.0,0.0,DSF: 0000866424,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,08/07/2017,08/06/2019,,11825294,10697123.0,38572.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,08/07/2017,08/06/2019,,854515,54475.0,54475.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/06/2017,70000,69473.0,69473.0,DSF: 0000845312,False
2,M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,170000.0,2226.0,DSF: 0000866013,False
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,07/22/2008,09/08/2008,09/16/2008,15000,34136.0,33979.0,DSF: 0000622222,True
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,09/16/2008,10/30/2008,09/16/2008,55000,171391.0,146190.0,DSF: 0000622222,True
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Construction,PNS,PNS,PNS,PNS,582500,582500.0,0.0,DSF: 0000622222,False
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,"CM, F&E",PNS,PNS,PNS,PNS,135000,135000.0,3259.0,DSF: 0000622222,False
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,IEH PO18-BASEMENT IT OFFICE AND SERVER ROOM,Construction,Complete,08/09/2017,IEH,12/23/2017,IEH,20623.0,1526.0,DSF: 0000048048,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Scope,Complete,01/13/2017,05/15/2017,02/08/2017,0,3174.0,3174.0,DSF: 0000800742,False
