project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
3,M076,P.S. 76 - MANHATTAN,SCA IEH,IEH PO18-ROOM 221 & HALLWAY NEAR ROOM 329,Construction,Complete,06/14/2017,IEH,07/22/2017,IEH,15329.0,2644.0,DSF: 0000047312,False
3,M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,Scope,Complete,07/22/2015,10/22/2015,04/22/2016,39525,43607.0,43607.0,DSF: 0000822215,False
3,M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,Design,Complete,04/27/2016,09/27/2016,05/17/2017,158100,153974.0,118692.0,DSF: 0000822215,False
3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,Scope,Complete,05/22/2013,10/07/2013,08/16/2013,0,97351.0,79730.0,DSF: 0000776001,False
3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,Design,Complete,04/07/2016,09/07/2016,10/17/2016,150375,121558.0,89874.0,DSF: 0000776001,False
3,M084,P.S. 84 - MANHATTAN,SCA IEH,"IEH PO18-ROOMS 336, 232, 128",Construction,Complete,09/21/2017,IEH,12/10/2017,IEH,79916.0,2684.0,DSF: 0000048671,False
3,M087,P.S. 87 - MANHATTAN,SCA IEH,IEH PO18-GYM,Construction,Complete,08/03/2016,IEH,12/07/2017,IEH,2467.0,2467.0,DSF: 0000042305,False
3,M087,P.S. 87 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,Complete,06/29/2017,09/26/2017,09/26/2017,DOES,162719.0,162719.0,DSF: 0000808861,False
3,M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,12/15/2015,04/01/2016,04/22/2016,19125,33195.0,33195.0,DSF: 0000843677,False
3,M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,04/27/2016,09/27/2016,04/04/2017,76500,127083.0,69045.0,DSF: 0000843677,False
3,M088,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,ENY AUDITORIUM UPGRADE,Scope,Complete,02/17/2017,06/20/2017,04/20/2017,6832,125.0,125.0,DSF: 0000865809,False
3,M088,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,ENY AUDITORIUM UPGRADE,Design,Complete,05/17/2017,10/18/2017,12/13/2017,25050,500.0,500.0,DSF: 0000865809,False
3,M088,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,08/25/2017,12/26/2017,09/29/2017,7774,2580.0,2580.0,DSF: 0000867041,False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Scope,Complete,08/14/2013,09/04/2014,08/22/2014,45091,38906.0,38906.0,"DSF: 0000777221, 0000799534",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Design,Complete,09/11/2014,07/23/2015,06/05/2015,171681,177798.0,170021.0,"DSF: 0000777221, 0000799534",False
10,X660,HIGH SCHOOL FOR ENERGY AND TEC,SCA IEH,IEH PO18-RM 401,Construction,Complete,06/21/2017,IEH,08/01/2017,IEH,10926.0,3220.0,DSF: 0000047400,False
10,X660,HIGH SCHOOL FOR ENERGY AND TEC,SCA IEH,IEH PO18-RM 117 CLOSET,Construction,Complete,08/15/2017,IEH,09/23/2017,IEH,16181.0,5678.0,DSF: 0000048206,False
10,X819,P.S. 207 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/14/2017,07/14/2017,10/23/2017,100000,99250.0,99250.0,DSF: 0000845043,False
10,X826,P.S. 226 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/08/2017,01/15/2018,08/03/2017,35000,34733.0,34733.0,DSF: 0000845026,False
10,X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Scope,Complete,07/31/2012,10/16/2013,02/06/2014,176871,231443.0,225438.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
10,X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Design,Complete,03/19/2014,08/18/2014,12/03/2014,704052,672338.0,553042.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
10,X859,P.S. 315 - BRONX,SCA IEH,IEH PO18-EXIT DOORS 2 AND 3; IN THE HALL,Construction,Complete,01/03/2017,IEH,07/01/2017,IEH,191148.0,11474.0,DSF: 0000044799,False
11,X012,X012 SPED - BRONX,SCA CIP,STRUCTURAL CRACKS/WINDOWS/PARAPETS,Scope,Complete,03/23/2016,08/05/2016,03/08/2017,85074,138743.0,130662.0,"DSF: 0000843972, 0000866166, 0000866177",False
11,X012,X012 SPED - BRONX,SCA CIP,STRUCTURAL CRACKS/WINDOWS/PARAPETS,Design,Complete,04/04/2017,09/01/2017,11/28/2017,330363,221740.0,216475.0,"DSF: 0000843972, 0000866166, 0000866177",False
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Scope,Complete,05/23/2016,09/16/2016,09/20/2016,1271925,1022443.0,1011766.0,DSF: 0000821591,False
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Design,Complete,09/21/2016,03/27/2017,05/11/2017,4070160,4071495.0,1758457.0,DSF: 0000821591,False
11,X019,P.S. 19 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/07/2017,07/07/2017,10/05/2017,50000,49623.0,49623.0,DSF: 0000845052,False
11,X021,P.S. 21 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/19/2017,07/19/2017,10/20/2017,69000,68482.0,68482.0,DSF: 0000845181,False
11,X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,Scope,Complete,07/12/2013,12/13/2013,01/31/2014,82260,77462.0,77462.0,"DSF: 0000752360, 0000752361",False
11,X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,Design,Complete,02/12/2014,07/15/2014,02/15/2017,329040,426832.0,333167.0,"DSF: 0000752360, 0000752361",True
11,X041,P.S. 41 - BRONX,SCA IEH,IEH PO18-STUDENT CAFETERIA,Construction,Complete,10/10/2017,IEH,11/25/2017,IEH,174406.0,6204.0,DSF: 0000048937,False
11,X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Scope,Complete,08/28/2015,04/25/2016,02/09/2016,46427,70123.0,69834.0,"DSF: 0000839883, 0000844082, 0000861830",False
11,X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Design,Complete,05/18/2016,10/19/2016,12/08/2016,177024,234719.0,231639.0,"DSF: 0000839883, 0000844082, 0000861830",False
11,X068,P.S. 68 - BRONX,SCA IEH,IEH PO18-3RD FL CORRIDOR,Construction,Complete,06/20/2017,IEH,08/19/2017,IEH,53899.0,3290.0,DSF: 0000047394,False
11,X078,P.S. 78 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,02/07/2017,DOEL,04/05/2017,DOEL,31557.0,31557.0,DSF:,False
11,X083,P.S. 83 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/19/2017,07/19/2017,10/24/2017,100000,99249.0,99249.0,DSF: 0000845541,False
11,X087,P.S. 87 - BRONX,SCA CIP,FLOOD ELIMINATION/EXT MASONRY/WINDOWS/PARAPETS,Scope,Complete,02/07/2017,06/22/2017,06/20/2017,78670,20471.0,20470.0,"DSF: 0000862191, 0000862194, 0000862195, 0000862196",False
11,X097,P.S. 97 - BRONX,SCA Capacity,ADDITION,Scope,Complete,02/09/2017,07/03/2017,07/28/2017,1679805,749880.0,744637.0,DSF: 0000798178,False
11,X097,P.S. 97 - BRONX,SCA Capacity,DETENTION TANK WORK,Scope,Complete,10/23/2017,10/23/2017,10/23/2017,25000,256.0,256.0,DSF: 0000798178,True
11,X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,Scope,Complete,01/03/2017,01/03/2017,01/03/2017,10872,4576.0,4576.0,DSF: 0000798178,True
11,X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,Design,Complete,01/04/2017,06/05/2017,07/19/2017,39864,18367.0,18303.0,DSF: 0000798178,False
11,X097,P.S. 97 - BRONX,SCA IEH,IEH PO18-RM 262,Construction,Complete,08/30/2017,IEH,12/02/2017,IEH,21096.0,6752.0,DSF: 0000048449,False
11,X103,P.S. 103 - BRONX,SCA CIP,PARAPETS,Scope,Complete,05/09/2017,11/09/2017,12/18/2017,90085,72189.0,11289.0,DSF: 0000045346,False
11,X103,P.S. 103 - BRONX,SCA IEH,IEH PO18-3RD FLOOR HALLWAY BY RM 312,Construction,Complete,02/27/2017,IEH,08/17/2017,IEH,60560.0,2934.0,DSF: 0000045435,False
11,X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,Scope,Complete,08/11/2014,12/29/2014,12/17/2014,63420,88625.0,88625.0,"DSF: 0000795434, 0000818615",False
11,X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,Design,Complete,04/07/2015,09/04/2015,10/07/2015,253680,299804.0,241773.0,"DSF: 0000795434, 0000818615",False
11,X106,P.S. 106 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/16/2017,01/15/2018,09/18/2017,200000,198499.0,198499.0,DSF: 0000845339,False
11,X108,P.S. 108 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,08/03/2017,100000,99246.0,99246.0,DSF: 0000845549,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,03/01/2016,06/29/2016,05/20/2016,0,25492.0,25492.0,DSF: 0000822770,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,Complete,06/17/2016,11/18/2016,11/30/2016,51779,102768.0,102031.0,DSF: 0000822770,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY17 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,Scope,Complete,03/03/2017,07/03/2017,06/27/2017,0,13535.0,13535.0,DSF: 0000844815,False
11,X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,07/01/2014,12/03/2014,08/12/2014,85830,21207.0,21207.0,"DSF: 0000795558, 0000798321",False
11,X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,09/02/2014,02/05/2015,04/02/2015,343320,100683.0,91521.0,"DSF: 0000795558, 0000798321",False
11,X112,P.S. 112 - BRONX,SCA IEH,"IEH PO18-REAR OF AUDITORIUM CEILING & WALLS,STAIRW",Construction,Complete,07/19/2017,IEH,12/17/2017,IEH,34231.0,2612.0,DSF: 0000047706,False
11,X112,P.S. 112 - BRONX,SCA IEH,IEH PO18-CEILING MASTIC OUTSIDE BOILER RM,Construction,Complete,09/21/2017,IEH,09/30/2017,IEH,33181.0,7452.0,DSF: 0000048726,False
11,X113,THE FORWARD SCHOOL - BRONX,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,04/25/2017,07/25/2017,05/30/2017,17023,3918.0,3918.0,DSF: 0000862622,False
11,X113,THE FORWARD SCHOOL - BRONX,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,07/13/2017,01/18/2018,10/04/2017,68092,15675.0,15675.0,DSF: 0000862622,False
