project_type,project_description,project_phase_name,project_status_name,dsf_number_s,failure
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Design,PNS,DSF: 0000866424,False
SCA CIP,Flood elimination,Design,PNS,DSF: 0000884892,False
SCA FURNITURE & EQUI,Fy15 reso a mobile science lab,F&E,PNS,DSF: 0000800092,False
DOE - SKILLED TRADES,Cooling towers replacement,Construction,In-Progress,DSF: 0000832950,False
SCA IEH,Ieh po18-8th fl conference room,Construction,Complete,DSF: 0000048106,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000776543,True
SCA IEH,Ieh po18-room 510,Construction,Complete,DSF: 0000049006,False
DOE- RESOA,Fy15 reso a gymnasium upgrade,Construction,PNS,DSF: 0000800428,False
DOE- RESOA,Fy13 reso a science lab upgrades,Construction,PNS,DSF: 0000754573,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777130,True
SCA CIP RESOA,Fy18 reso a library upgrades,Scope,PNS,DSF: 0000866433,True
SCA CIP RESOA,Fy18 reso a library upgrades,Design,PNS,DSF: 0000866433,False
SCA CIP RESOA,Fy18 reso a library upgrades,Construction,PNS,DSF: 0000866433,False
SCA CIP RESOA,Fy18 reso a library upgrades,"CM, F&E",PNS,DSF: 0000866433,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777132,True
SCA IEH,Ieh po18-room 403 & student bathroom,Construction,Complete,DSF: 0000047410,False
SCA IEH,"Ieh po18-2nd fl boys bath, 6th fl hallway, room 60",Construction,Complete,DSF: 0000048345,False
SCA CIP RESOA,Fy18 reso a library upgrades,Scope,PNS,DSF: 0000866407,True
SCA CIP RESOA,Fy18 reso a library upgrades,Design,PNS,DSF: 0000866407,False
SCA CIP RESOA,Fy18 reso a library upgrades,Construction,PNS,DSF: 0000866407,False
SCA CIP RESOA,Fy18 reso a library upgrades,"CM, F&E",PNS,DSF: 0000866407,False
SCA CIP RESOA,Fy18 reso a supplemental cooling,Scope,In-Progress,DSF: 0000867223,True
SCA CIP RESOA,Fy18 reso a supplemental cooling,Design,PNS,DSF: 0000867223,False
SCA CIP RESOA,Fy18 reso a supplemental cooling,Construction,PNS,DSF: 0000867223,False
SCA CIP RESOA,Fy18 reso a supplemental cooling,"CM, F&E",PNS,DSF: 0000867223,False
SCA IEH,Ieh po18-outside room 108,Construction,Complete,DSF: 0000047025,False
SCA IEH,Ieh po18-room 312,Construction,Complete,DSF: 0000049229,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777061,True
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777060,True
SCA CIP RESOA,Fy 15 reso a greenhouse,Scope,PNS,DSF: 0000800099,False
SCA CIP RESOA,Fy 15 reso a greenhouse,Design,PNS,DSF: 0000800099,False
SCA CIP RESOA,Fy 15 reso a greenhouse,Construction,PNS,DSF: 0000800099,False
SCA CIP RESOA,Fy 15 reso a greenhouse,"CM, F&E",PNS,DSF: 0000800099,False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Scope,PNS,DSF: 0000867369,True
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Design,PNS,DSF: 0000867369,False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Construction,PNS,DSF: 0000867369,False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,"CM, F&E",PNS,DSF: 0000867369,False
SCA IEH,Ieh po18-kitchen delivery entrance,Construction,Complete,DSF: 0000048525,False
SCA CIP,Masonry & granite step defects,Scope,Complete,DSF: 0000785205,False
SCA CIP,Masonry & granite step defects,Design,Complete,DSF: 0000785205,False
SCA CIP,Masonry & granite step defects,Construction,In-Progress,DSF: 0000785205,False
SCA CIP,Masonry & granite step defects,"CM, F&E",In-Progress,DSF: 0000785205,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777087,True
SCA CIP,Playnyc boiler conversion/climate control,Scope,Complete,"DSF: 0000775607, 0000775608",False
SCA CIP,Playnyc boiler conversion/climate control,Design,Complete,"DSF: 0000775607, 0000775608",False
SCA CIP,Playnyc boiler conversion/climate control,Construction,In-Progress,"DSF: 0000775607, 0000775608",False
SCA CIP,Playnyc boiler conversion/climate control,"CM, F&E",In-Progress,"DSF: 0000775607, 0000775608",False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Scope,PNS,DSF: 0000867196,True
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Design,PNS,DSF: 0000867196,False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,Construction,PNS,DSF: 0000867196,False
SCA CIP RESOA,Fy18 reso a room conversions/partitioning,"CM, F&E",PNS,DSF: 0000867196,False
FAST TRACK PROJECTS,Temporary boiler,Construction,In-Progress,DSF: 0000823602,False
DCAS/NYPA,High efficiency lighting system,Construction,Complete,DSF:,False
SCA CIP RESOA,Fy17 reso a auditorium  upgrade,Scope,Complete,DSF: 0000844204,False
SCA CIP RESOA,Fy17 reso a auditorium  upgrade,Design,Complete,DSF: 0000844204,False
SCA CIP RESOA,Fy17 reso a auditorium  upgrade,Construction,Complete,DSF: 0000844204,False
SCA CIP RESOA,Fy17 reso a auditorium  upgrade,"CM, F&E",Complete,DSF: 0000844204,False
SCA IEH,Ieh po18-room 221 & hallway near room 329,Construction,Complete,DSF: 0000047312,False
SCA CIP,Ctf-room conversion,Scope,Complete,DSF: 0000822215,False
SCA CIP,Ctf-room conversion,Design,Complete,DSF: 0000822215,False
SCA CIP,Ctf-room conversion,Construction,In-Progress,DSF: 0000822215,False
SCA CIP,Ctf-room conversion,"CM, F&E",In-Progress,DSF: 0000822215,False
SCA CIP RESOA,Fy18 reso a library upgrades,Scope,PNS,DSF: 0000867438,True
SCA CIP RESOA,Fy18 reso a library upgrades,Design,PNS,DSF: 0000867438,False
SCA CIP RESOA,Fy18 reso a library upgrades,Construction,PNS,DSF: 0000867438,False
SCA CIP RESOA,Fy18 reso a library upgrades,"CM, F&E",PNS,DSF: 0000867438,False
SCA CIP RESOA,Fy18 reso a playground upgrade,Scope,PNS,DSF: 0000888809,True
SCA CIP RESOA,Fy18 reso a playground upgrade,Design,PNS,DSF: 0000888809,False
SCA CIP RESOA,Fy18 reso a playground upgrade,Construction,PNS,DSF: 0000888809,False
SCA CIP RESOA,Fy18 reso a playground upgrade,"CM, F&E",PNS,DSF: 0000888809,False
SCA CIP RESOA,Reso a greenroof,Scope,Complete,DSF: 0000776001,False
SCA CIP RESOA,Reso a greenroof,Design,Complete,DSF: 0000776001,False
SCA CIP RESOA,Reso a greenroof,Construction,In-Progress,DSF: 0000776001,False
SCA CIP RESOA,Reso a greenroof,"CM, F&E",In-Progress,DSF: 0000776001,False
SCA IEH,"Ieh po18-rooms 336, 232, 128",Construction,Complete,DSF: 0000048671,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,In-Progress,DSF: 0000844415,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,In-Progress,DSF: 0000845392,True
SCA CIP RESOA,Fy17 reso a ip surveillance camera installation,Scope,PNS,DSF: 0000844933,True
SCA CIP RESOA,Fy17 reso a ip surveillance camera installation,Design,PNS,DSF: 0000844933,False
SCA CIP RESOA,Fy17 reso a ip surveillance camera installation,Construction,PNS,DSF: 0000844933,False
SCA CIP RESOA,Fy17 reso a ip surveillance camera installation,"CM, F&E",PNS,DSF: 0000844933,False
SCA IEH,Ieh po18-gym,Construction,Complete,DSF: 0000042305,False
DOE - SKILLED TRADES,Planyc oil conversion project,Construction,In-Progress,DSF: 0000754323,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,Complete,DSF: 0000808861,False
DOE - SKILLED TRADES,Gymnasium ceiling,Construction,In-Progress,DSF: 0000830939,False
SCA CIP,Science lab upgrade,Scope,Complete,DSF: 0000843677,False
SCA CIP,Science lab upgrade,Design,Complete,DSF: 0000843677,False
SCA CIP,Science lab upgrade,Construction,In-Progress,DSF: 0000843677,False
SCA CIP,Science lab upgrade,"CM, F&E",In-Progress,DSF: 0000843677,False
SCA CIP,Eny auditorium upgrade,Scope,Complete,DSF: 0000865809,False
SCA CIP,Eny auditorium upgrade,Design,Complete,DSF: 0000865809,False
SCA CIP,Eny auditorium upgrade,Construction,PNS,DSF: 0000865809,False
SCA CIP,Eny auditorium upgrade,"CM, F&E",PNS,DSF: 0000865809,False
SCA CIP,Ip digital video surveillance system,Scope,Complete,DSF: 0000867041,False
SCA CIP,Ip digital video surveillance system,Design,In-Progress,DSF: 0000867041,True
SCA CIP,Ip digital video surveillance system,Construction,PNS,DSF: 0000867041,False
SCA CIP,Ip digital video surveillance system,"CM, F&E",PNS,DSF: 0000867041,False
SCA CIP,Parking area lighting/tcu removal and playground,Scope,Complete,"DSF: 0000777221, 0000799534",False
SCA CIP,Parking area lighting/tcu removal and playground,Design,Complete,"DSF: 0000777221, 0000799534",False
SCA CIP,Parking area lighting/tcu removal and playground,Construction,In-Progress,"DSF: 0000777221, 0000799534",False
SCA CIP,Parking area lighting/tcu removal and playground,"CM, F&E",In-Progress,"DSF: 0000777221, 0000799534",False
SCA IEH,Ieh po18-rms 146 & 148,Construction,In-Progress,DSF: 0000047667,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866081,False
SCA IEH,Ieh po18-rm 401,Construction,Complete,DSF: 0000047400,False
SCA IEH,Ieh po18-rm 117 closet,Construction,Complete,DSF: 0000048206,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845043,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845026,False
SCA CIP,Elevator/ext msnry/flood/ parapets/roofs/wall,Scope,Complete,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
SCA CIP,Elevator/ext msnry/flood/ parapets/roofs/wall,Design,Complete,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
SCA CIP,Elevator/ext msnry/flood/ parapets/roofs/wall,Construction,In-Progress,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
SCA CIP,Elevator/ext msnry/flood/ parapets/roofs/wall,"CM, F&E",In-Progress,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
SCA CIP RESOA,Fy18 reso a science lab upgrades,Scope,PNS,DSF: 0000867212,True
SCA CIP RESOA,Fy18 reso a science lab upgrades,Design,PNS,DSF: 0000867212,False
SCA CIP RESOA,Fy18 reso a science lab upgrades,Construction,PNS,DSF: 0000867212,False
SCA CIP RESOA,Fy18 reso a science lab upgrades,"CM, F&E",PNS,DSF: 0000867212,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000800265,True
SCA IEH,Ieh po18-exit doors 2 and 3; in the hall,Construction,Complete,DSF: 0000044799,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777190,True
SCA CIP,Structural cracks/windows/parapets,Scope,Complete,"DSF: 0000843972, 0000866166, 0000866177",False
SCA CIP,Structural cracks/windows/parapets,Design,Complete,"DSF: 0000843972, 0000866166, 0000866177",False
SCA CIP,Structural cracks/windows/parapets,Construction,PNS,"DSF: 0000843972, 0000866166, 0000866177",False
SCA CIP,Structural cracks/windows/parapets,"CM, F&E",PNS,"DSF: 0000843972, 0000866166, 0000866177",False
SCA CAPACITY,Addition,Scope,Complete,DSF: 0000821591,False
SCA CIP,Flood elimination,Construction,PNS,DSF: 0000884892,False
SCA CAPACITY,Addition,Design,Complete,DSF: 0000821591,False
SCA CAPACITY,Addition,Construction,In-Progress,DSF: 0000821591,False
SCA CAPACITY,Addition,"CM,Art,F&E",In-Progress,DSF: 0000821591,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845052,False
SCA IEH,"Ieh po18-rms 221,223,225,222,226",Construction,In-Progress,DSF: 0000049671,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845181,False
SCA CIP,Planyc boiler conversion/climate control,Scope,Complete,"DSF: 0000752360, 0000752361",False
SCA CIP,Planyc boiler conversion/climate control,Design,Complete,"DSF: 0000752360, 0000752361",True
SCA CIP,Planyc boiler conversion/climate control,Construction,In-Progress,"DSF: 0000752360, 0000752361",False
SCA CIP,Planyc boiler conversion/climate control,"CM, F&E",In-Progress,"DSF: 0000752360, 0000752361",False
SCA IEH,Ieh po18-1st fl tile floor,Construction,In-Progress,DSF: 0000048188,False
SCA IEH,Ieh po18-student cafeteria,Construction,Complete,DSF: 0000048937,False
DOE- RESOA,Fy18 reso a bathroom upgrade project,Construction,In-Progress,DSF: 0000866318,True
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866060,False
SCA CIP,Water infiltration/ext masonry/paved area-blacktop,Scope,Complete,"DSF: 0000839883, 0000844082, 0000861830",False
SCA CIP,Water infiltration/ext masonry/paved area-blacktop,Design,Complete,"DSF: 0000839883, 0000844082, 0000861830",False
SCA CIP,Water infiltration/ext masonry/paved area-blacktop,Construction,In-Progress,"DSF: 0000839883, 0000844082, 0000861830",False
SCA CIP,Water infiltration/ext masonry/paved area-blacktop,"CM, F&E",In-Progress,"DSF: 0000839883, 0000844082, 0000861830",False
SCA IEH,Ieh po18-3rd fl corridor,Construction,Complete,DSF: 0000047394,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866066,False
SCA IEH,"Ieh po18-rms 411,407,262",Construction,In-Progress,DSF: 0000048672,False
DOE - LEAD PAINT,Lead paint abatement,Construction,Complete,DSF:,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845541,False
DOE - SKILLED TRADES,Ace hot water heater,Construction,In-Progress,DSF: 0000818226,False
