project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",2017-06-26,2018-04-01,243952.0,213552.0,12476.0,DSF: 0000843858,False,bronx,95.0,231476.0,279.0
X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,2017-06-12,,,161827.0,161827.0,DSF: 0000865882,False,bronx,,,
X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,2014-09-08,2018-09-06,56872126.0,53590274.0,50017110.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False,bronx,12.0,6855016.0,1459.0
X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",2014-09-08,2018-09-06,3538709.0,1715406.0,1702617.0,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False,bronx,52.0,1836092.0,1459.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,2017-06-15,2018-03-11,355094.0,316535.0,7533.0,DSF: 0000843859,False,bronx,98.0,347561.0,269.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",2017-06-15,2018-03-11,266901.0,228362.0,17433.0,DSF: 0000843859,False,bronx,93.0,249468.0,269.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,2017-11-07,2018-08-03,2288000.0,1984152.0,26852.0,DSF: 0000822352,False,bronx,99.0,2261148.0,269.0
X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",2017-11-07,2018-08-03,156000.0,39526.0,39526.0,DSF: 0000822352,False,bronx,75.0,116474.0,269.0
X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,2016-07-07,2019-01-02,30587626.0,28356246.0,16038131.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False,bronx,48.0,14549495.0,909.0
X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",2016-07-07,2019-01-02,1903230.0,592325.0,578567.0,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False,bronx,70.0,1324663.0,909.0
X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,2017-11-30,2018-05-29,47204.0,47204.0,6287.0,DSF: 0000867078,False,bronx,87.0,40917.0,180.0
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,2015-01-26,2015-05-27,0.0,5978.0,0.0,DSF: 0000800415,True,bronx,,0.0,121.0
X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,2017-11-27,,,46420.0,7392.0,DSF: 0000049508,False,bronx,,,
X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,2017-06-01,,,800.0,0.0,DSF:,False,bronx,,,
X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,2017-07-14,,84515.0,84515.0,84515.0,DSF: 0000845041,False,bronx,0.0,0.0,
X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,606.0,DSF: 0000866080,False,bronx,,,
X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,2017-11-30,,,962300.0,0.0,DSF: 0000867029,True,bronx,,,
X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,2016-07-12,2018-07-11,10108126.0,9180781.0,6970617.0,"DSF: 0000820291, 0000822171",False,bronx,31.0,3137509.0,729.0
X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",2016-07-12,2018-07-11,636575.0,518837.0,449797.0,"DSF: 0000820291, 0000822171",False,bronx,28.999999999999996,186778.0,729.0
X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,2017-08-28,2018-02-15,1156096.0,1156096.0,9609.0,DSF: 0000798176,True,bronx,99.0,1146487.0,171.0
X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,2017-12-11,2018-03-20,110000.0,110000.0,0.0,DSF: 0000798176,True,bronx,100.0,110000.0,99.0
X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,2017-08-07,2019-08-06,11825294.0,10697123.0,38572.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False,bronx,100.0,11786722.0,729.0
X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",2017-08-07,2019-08-06,854515.0,54475.0,54475.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False,bronx,94.0,800040.0,729.0
M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-06,,,170000.0,2226.0,DSF: 0000866013,False,manhattan,,,
M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Construction,2017-06-28,2018-04-23,195941.0,127685.0,3944.0,DSF: 0000800742,False,manhattan,98.0,191997.0,299.0
M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,"CM, F&E",2017-06-28,2018-04-23,90128.0,99337.0,11260.0,DSF: 0000800742,False,manhattan,88.0,78868.0,299.0
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,Construction,2017-06-26,2018-12-17,4073625.0,3696547.0,25977.0,"DSF: 0000821944, 0000832931",False,manhattan,99.0,4047648.0,539.0
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,"CM, F&E",2017-06-26,2018-12-17,253470.0,71597.0,71597.0,"DSF: 0000821944, 0000832931",False,manhattan,72.0,181873.0,539.0
M834,HS FOR ENVIRONMENTAL STUDIES -,DOE - Skilled Trades,COOLING TOWERS REPLACEMENT,Construction,2017-03-11,,,523637.0,373469.0,DSF: 0000832950,False,manhattan,,,
M860,P.S. 343 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,676994.0,0.0,DSF: 0000776543,True,manhattan,,,190.0
M883,HARVEST COLLEGIATE HIGH SCHOOL,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,14972.0,0.0,DSF: 0000777130,True,manhattan,,,190.0
M920,SATELLITE ACADEMY - M,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,31644.0,0.0,DSF: 0000777132,True,manhattan,,,190.0
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,2017-12-13,2018-02-13,0.0,102.0,102.0,DSF: 0000867223,True,manhattan,-inf,-102.0,62.0
M009,I.S. 243 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,126948.0,0.0,DSF: 0000777061,True,manhattan,,,190.0
M009,P.S. 9 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,126948.0,0.0,DSF: 0000777060,True,manhattan,,,190.0
M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,Construction,2016-10-19,2017-07-15,1028695.0,1429405.0,1040361.0,DSF: 0000785205,False,manhattan,-1.0,-11666.0,269.0
M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,"CM, F&E",2016-10-19,2017-07-15,238410.0,271713.0,253211.0,DSF: 0000785205,False,manhattan,-6.0,-14801.0,269.0
M054,I.S. 54 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,301650.0,0.0,DSF: 0000777087,True,manhattan,,,190.0
M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Construction,2016-06-13,2017-09-05,7528581.0,7348197.0,6373029.0,"DSF: 0000775607, 0000775608",False,manhattan,15.0,1155552.0,449.0
M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,"CM, F&E",2016-06-13,2017-09-05,613272.0,645902.0,629266.0,"DSF: 0000775607, 0000775608",False,manhattan,-3.0,-15994.0,449.0
M075,P.S. 75 - MANHATTAN,Fast Track Projects,TEMPORARY BOILER,Construction,2015-10-05,,,856639.0,338489.0,DSF: 0000823602,False,manhattan,,,
M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,Construction,2017-08-07,2018-07-08,2964375.0,2724400.0,23468.0,DSF: 0000822215,False,manhattan,99.0,2940907.0,335.0
M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,"CM, F&E",2017-08-07,2018-07-08,184450.0,88383.0,87920.0,DSF: 0000822215,False,manhattan,52.0,96530.0,335.0
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,Construction,2017-12-18,2018-11-12,2205500.0,2057027.0,27977.0,DSF: 0000776001,False,manhattan,99.0,2177523.0,329.0
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,"CM, F&E",2017-12-18,2018-11-12,150375.0,37834.0,37625.0,DSF: 0000776001,False,manhattan,75.0,112750.0,329.0
M084,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-11-17,2018-02-01,100000.0,99249.0,99249.0,DSF: 0000844415,True,manhattan,1.0,751.0,76.0
M084,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-11-17,2018-02-05,35000.0,34738.0,34738.0,DSF: 0000845392,True,manhattan,1.0,262.0,80.0
M087,P.S. 87 - MANHATTAN,DOE - Skilled Trades,PLANYC OIL CONVERSION PROJECT,Construction,2011-10-17,,,4150.0,1150.0,DSF: 0000754323,False,manhattan,,,
M087,P.S. 87 - MANHATTAN,DOE - Skilled Trades,GYMNASIUM CEILING,Construction,2016-06-30,,,84706.0,84706.0,DSF: 0000830939,False,manhattan,,,
M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Construction,2017-07-24,2018-04-19,1434375.0,1338281.0,171240.0,DSF: 0000843677,False,manhattan,88.0,1263135.0,269.0
M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",2017-07-24,2018-04-19,96697.0,66363.0,58065.0,DSF: 0000843677,False,manhattan,40.0,38632.0,269.0
M088,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,2017-09-29,2018-03-28,28505.0,28505.0,10318.0,DSF: 0000867041,True,manhattan,64.0,18187.0,180.0
X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Construction,2017-05-15,2018-08-07,2439972.0,2230892.0,2020506.0,"DSF: 0000777221, 0000799534",False,bronx,17.0,419466.0,449.0
X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,"CM, F&E",2017-05-15,2018-08-07,323266.0,157415.0,156652.0,"DSF: 0000777221, 0000799534",False,bronx,52.0,166614.0,449.0
X475,BRONX THEATRE HS - BRONX,SCA IEH,IEH PO18-RMS 146 & 148,Construction,2017-07-17,,,990.0,490.0,DSF: 0000047667,False,bronx,,,
X475,BRONX THEATRE HS - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,1676.0,DSF: 0000866081,False,bronx,,,
X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Construction,2016-07-08,2018-12-24,12892738.0,11760993.0,4315187.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False,bronx,67.0,8577551.0,899.0
X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,"CM, F&E",2016-07-08,2018-12-24,870048.0,399418.0,390856.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False,bronx,55.00000000000001,479192.0,899.0
X843,P.S. 246 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2016-07-01,2017-07-01,,,0.0,DSF: 0000800265,True,bronx,,,365.0
X859,P.S. 315 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,30175.0,0.0,DSF: 0000777190,True,bronx,,,190.0
X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Construction,2017-07-10,2020-09-01,57083994.0,51637412.0,1561890.0,DSF: 0000821591,False,bronx,97.0,55522104.0,1149.0
X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,"CM,Art,F&E",2017-07-10,2020-09-01,8038566.0,2949638.0,409902.0,DSF: 0000821591,False,bronx,95.0,7628664.0,1149.0
X021,P.S. 21 - BRONX,SCA IEH,"IEH PO18-RMS 221,223,225,222,226",Construction,2017-12-06,,,1066.0,566.0,DSF: 0000049671,False,bronx,,,
X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,Construction,2017-05-08,2018-09-19,6169500.0,5727458.0,1100202.0,"DSF: 0000752360, 0000752361",False,bronx,82.0,5069298.0,499.0
X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,"CM, F&E",2017-05-08,2018-09-19,383880.0,133430.0,132439.0,"DSF: 0000752360, 0000752361",False,bronx,65.0,251441.0,499.0
X041,P.S. 41 - BRONX,SCA IEH,IEH PO18-1ST FL TILE FLOOR,Construction,2017-08-15,,,2182.0,1682.0,DSF: 0000048188,False,bronx,,,
X041,P.S. 41 - BRONX,DOE- RESOA,FY18 RESO A BATHROOM UPGRADE PROJECT,Construction,2017-08-01,,35000.0,327763.0,327763.0,DSF: 0000866318,True,bronx,-836.0,-292763.0,
X041,P.S. 41 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-07-25,,,114691.0,114691.0,DSF: 0000866060,False,bronx,,,
X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Construction,2017-06-05,2018-09-07,2540098.0,2349150.0,228840.0,"DSF: 0000839883, 0000844082, 0000861830",False,bronx,91.0,2311258.0,459.0
X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,"CM, F&E",2017-06-05,2018-09-07,329507.0,130808.0,130105.0,"DSF: 0000839883, 0000844082, 0000861830",False,bronx,61.0,199402.0,459.0
X068,P.S. 68 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,1527.0,DSF: 0000866066,False,bronx,,,
X076,P.S. 76 - BRONX,SCA IEH,"IEH PO18-RMS 411,407,262",Construction,2017-09-20,,,67538.0,920.0,DSF: 0000048672,False,bronx,,,
X083,P.S. 83 - BRONX,DOE - Skilled Trades,ACE HOT WATER HEATER,Construction,2016-10-04,,,85661.0,85661.0,DSF: 0000818226,False,bronx,,,
X087,P.S. 87 - BRONX,SCA CIP,FLOOD ELIMINATION/EXT MASONRY/WINDOWS/PARAPETS,Design,2017-10-18,2018-03-23,302884.0,302884.0,51881.0,"DSF: 0000862191, 0000862194, 0000862195, 0000862196",True,bronx,83.0,251003.0,156.0
X089,P.S. 89 - BRONX,SCA CIP,FLOOD ELIMINATION,Scope,2017-12-18,2018-05-04,29030.0,29030.0,0.0,DSF: 0000884892,True,bronx,100.0,29030.0,137.0
X089,P.S. 89 - BRONX,DOE- RESOA,RESO A AUDITORIUM SEATING,Construction,2017-04-06,,725000.0,725000.0,228312.0,DSF: 0000845590,False,bronx,69.0,496688.0,
X097,P.S. 97 - BRONX,SCA Capacity,ADDITION,Design,2017-07-31,2018-02-12,5375375.0,5375375.0,610509.0,DSF: 0000798178,False,bronx,89.0,4764866.0,196.0
X097,P.S. 97 - BRONX,SCA Capacity,DETENTION TANK WORK,Design,2017-10-23,2017-12-22,80000.0,80000.0,1025.0,DSF: 0000798178,True,bronx,99.0,78975.0,60.0
X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,Construction,2017-11-28,2018-04-27,422195.0,390528.0,2868.0,DSF: 0000798178,True,bronx,99.0,419327.0,150.0
X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,"CM, F&E",2017-11-28,2018-04-27,97848.0,80711.0,25242.0,DSF: 0000798178,True,bronx,74.0,72606.0,150.0
X103,P.S. 103 - BRONX,SCA IEH,IEH PO18-MAIN STAIRCASE A/C 4TH FL TO SUB BASEMENT,Construction,2017-11-06,,,43579.0,1410.0,DSF: 0000049252,False,bronx,,,
X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,Construction,2017-05-15,2018-11-05,4756500.0,4356509.0,958979.0,"DSF: 0000795434, 0000818615",False,bronx,80.0,3797521.0,539.0
X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,"CM, F&E",2017-05-15,2018-11-05,295960.0,180460.0,178438.0,"DSF: 0000795434, 0000818615",False,bronx,40.0,117522.0,539.0
X105,P.S. 105 - BRONX,SCA IEH,IEH PO18-BACK CAFE,Construction,2016-03-02,,,1546.0,1046.0,DSF: 0000040207,False,bronx,,,
X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,2017-06-23,2018-03-19,759424.0,778178.0,315327.0,DSF: 0000822770,False,bronx,57.99999999999999,444097.0,269.0
X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",2017-06-23,2018-03-19,51779.0,99978.0,99241.0,DSF: 0000822770,False,bronx,-92.0,-47462.0,269.0
X111,P.S. 111 - BRONX,SCA CIP RESOA,FY17 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,Design,2017-08-09,2017-12-27,20280.0,34146.0,21791.0,DSF: 0000844815,True,bronx,-7.000000000000001,-1511.0,140.0
X111,P.S. 111 - BRONX,DOE- RESOA,FY13 RESO A LIBRARY UPGRADE,Construction,2016-07-06,,285000.0,68884.0,68884.0,DSF: 0000754684,False,bronx,76.0,216116.0,
X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,2017-02-28,2018-08-21,6437250.0,6190398.0,1605299.0,"DSF: 0000795558, 0000798321",False,bronx,75.0,4831951.0,539.0
X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",2017-02-28,2018-08-21,400540.0,259481.0,249358.0,"DSF: 0000795558, 0000798321",False,bronx,38.0,151182.0,539.0
X113,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,2017-10-02,2018-04-02,35755.0,35755.0,5043.0,DSF: 0000867071,True,bronx,86.0,30712.0,182.0
M113,P.S. 241 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/CIMATE CONTROL,Construction,2016-03-21,2017-06-13,5317944.0,5093694.0,4470254.0,"DSF: 0000718946, 0000731099",False,manhattan,16.0,847690.0,449.0
M113,P.S. 241 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/CIMATE CONTROL,"CM, F&E",2016-03-21,2017-06-13,497882.0,507927.0,504667.0,"DSF: 0000718946, 0000731099",False,manhattan,-1.0,-6785.0,449.0
M113,P.S. 241 - MANHATTAN,SCA CIP,FLOOD ELIMINATION,Construction,2016-10-21,2017-08-16,1504125.0,1436867.0,658317.0,DSF: 0000785769,False,manhattan,56.00000000000001,845808.0,299.0
M113,P.S. 241 - MANHATTAN,SCA CIP,FLOOD ELIMINATION,"CM, F&E",2016-10-21,2017-08-16,93590.0,114676.0,112904.0,DSF: 0000785769,False,manhattan,-21.0,-19314.0,299.0
M118,P.S. 333 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Construction,2016-08-19,2018-05-10,12542503.0,13179953.0,1891072.0,"DSF: 0000763231, 0000763232, 0000763233",False,manhattan,85.0,10651431.0,629.0
M118,P.S. 333 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,"CM, F&E",2016-08-19,2018-05-10,780422.0,459232.0,416551.0,"DSF: 0000763231, 0000763232, 0000763233",False,manhattan,47.0,363871.0,629.0
M118,I.S. 258 - MANHATTAN,DOE- RESOA,FY16 RESO A LOCKER UPGRADES,Construction,2017-03-10,,80000.0,45383.0,45383.0,DSF: 0000822835,False,manhattan,43.0,34617.0,
M118,P.S. 333 - MANHATTAN,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,2017-02-17,,212338.0,212338.0,212338.0,DSF: 0000844184,False,manhattan,0.0,0.0,
M118,I.S. 258 - MANHATTAN,DOE- RESOA,FY17 RESO A ART ROOM RENOVATION,Construction,2017-08-18,,159722.0,159722.0,159722.0,DSF: 0000844189,False,manhattan,0.0,0.0,
M144,P.S. 242 - MANHATTAN,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Scope,2017-12-21,2018-05-24,76655.0,76655.0,133.0,"DSF: 0000798379, 0000798381",True,manhattan,100.0,76522.0,154.0
M145,P.S. 145 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Construction,2014-06-27,2015-09-19,3460812.0,3457356.0,3275679.0,"DSF: 0000775605, 0000775606",False,manhattan,5.0,185133.0,449.0
M145,P.S. 145 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,"CM, F&E",2014-06-27,2015-09-19,233548.0,622630.0,617620.0,"DSF: 0000775605, 0000775606",True,manhattan,-164.0,-384072.0,449.0
M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ENY SUPPLEMENTAL COOLING,Design,2017-09-28,2018-02-02,29585.0,29585.0,4284.0,DSF: 0000865806,True,manhattan,86.0,25301.0,127.0
M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,FY15 RESO A AUDITORIUM UPGRADE,Design,2017-02-01,2017-07-03,35640.0,53942.0,30019.0,DSF: 0000800081,True,manhattan,16.0,5621.0,152.0
M145,P.S. 145 - MANHATTAN,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,2017-08-23,2018-02-23,15600.0,14265.0,14265.0,DSF: 0000823552,True,manhattan,9.0,1335.0,184.0
M163,P.S. 163 - MANHATTAN,SCA CIP,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,Construction,2017-06-22,2018-03-18,2747885.0,2491935.0,490866.0,DSF: 0000822265,False,manhattan,82.0,2257019.0,269.0
M163,P.S. 163 - MANHATTAN,SCA CIP,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,"CM, F&E",2017-06-22,2018-03-18,170979.0,258465.0,258024.0,DSF: 0000822265,False,manhattan,-51.0,-87045.0,269.0
M165,P.S. 165 - MANHATTAN,SCA CIP,EXT MASONRY/ROOFS,Construction,2015-07-14,2016-10-05,7045076.0,6124417.0,4253072.0,"DSF: 0000777681, 0000799928",False,manhattan,40.0,2792004.0,449.0
M165,P.S. 165 - MANHATTAN,SCA CIP,EXT MASONRY/ROOFS,"CM, F&E",2015-07-14,2016-10-05,598414.0,774623.0,761652.0,"DSF: 0000777681, 0000799928",False,manhattan,-27.0,-163238.0,449.0
M165,P.S. 165 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-06-07,2017-07-07,35000.0,34737.0,34737.0,DSF: 0000845247,True,manhattan,1.0,263.0,30.0
M165,P.S. 165 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-06,,,170000.0,1645.0,DSF: 0000866006,False,manhattan,,,
