project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_SCA,project_type_CIP,project_type_DIIT,project_type_DOE,project_type_DOES,project_type_DOER,project_type_RESOA,project_type_IEH,project_type_PRE-K,project_type_DCAS,project_type_FAST_TRACK_PROJECTS,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,,,PNS,51000.0,51000.0,0.0,DSF: 0000866411,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,51000.0,
X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,,,PNS,748000.0,748000.0,0.0,DSF: 0000866411,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,748000.0,
X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",,,PNS,51000.0,51000.0,0.0,DSF: 0000866411,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,51000.0,
X430,KINGSBRIDGE INTERNATIONAL HS -,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,,,PNS,65000.0,65000.0,0.0,DSF: 0000798838,False,0,0,0,1,0,0,1,0,0,0,0,bronx,100.0,65000.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,66000.0,66000.0,0.0,DSF: 0000866424,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,66000.0,
X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Construction,,,PNS,4534167.0,4534167.0,37125.0,DSF: 0000774374,False,1,1,0,0,0,0,0,0,0,0,0,bronx,99.0,4497042.0,
X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,"CM, F&E",,,PNS,282126.0,282126.0,41815.0,DSF: 0000774374,False,1,1,0,0,0,0,0,0,0,0,0,bronx,85.0,240311.0,
X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,,,PNS,499934.0,499934.0,0.0,DSF: 0000867078,False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,499934.0,
X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",,,PNS,170459.0,170459.0,457.0,DSF: 0000867078,False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,170002.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Design,,,PNS,13666.0,191926.0,0.0,DSF: 0000800078,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,13666.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Construction,,,PNS,200432.0,3320479.0,0.0,DSF: 0000800078,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,200432.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,"CM, F&E",,,PNS,13666.0,226396.0,0.0,DSF: 0000800078,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,13666.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Design,,,PNS,12000.0,6022.0,0.0,DSF: 0000800415,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,12000.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Construction,,,PNS,176000.0,176000.0,0.0,DSF: 0000800415,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,176000.0,
X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,"CM, F&E",,,PNS,12000.0,12000.0,0.0,DSF: 0000800415,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,12000.0,
X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Construction,,,PNS,1561366.0,1561366.0,23938.0,DSF: 0000864171,False,1,1,0,0,0,0,0,0,0,0,0,bronx,98.0,1537428.0,
X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,"CM, F&E",,,PNS,97152.0,97152.0,18765.0,DSF: 0000864171,False,1,1,0,0,0,0,0,0,0,0,0,bronx,81.0,78387.0,
X445,BRONX HS OF SCIENCE - X,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,,,PNS,50000.0,50000.0,0.0,DSF: 0000798839,False,0,0,0,1,0,0,1,0,0,0,0,bronx,100.0,50000.0,
X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,,,PNS,3699508.0,3699508.0,38434.0,DSF: 0000798176,False,1,0,0,0,0,0,0,0,0,0,0,bronx,99.0,3661074.0,
X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,,,PNS,51885601.0,51885601.0,6917.0,DSF: 0000798176,False,1,0,0,0,0,0,0,0,0,0,0,bronx,100.0,51878684.0,
X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",,,PNS,7306528.0,7306528.0,21037.0,DSF: 0000798176,False,1,0,0,0,0,0,0,0,0,0,0,bronx,100.0,7285491.0,
X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Construction,,,PNS,1165000.0,1165000.0,0.0,DSF: 0000798176,False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,1165000.0,
X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,"CM, F&E",,,PNS,270000.0,270000.0,116.0,DSF: 0000798176,False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,269884.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",,,PNS,4500.0,4500.0,0.0,DSF: 0000866424,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4500.0,
M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Construction,,,PNS,582500.0,582500.0,0.0,DSF: 0000622222,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,582500.0,
M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,"CM, F&E",,,PNS,135000.0,135000.0,3259.0,DSF: 0000622222,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,98.0,131741.0,
M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866404,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,,,PNS,21000.0,21000.0,0.0,DSF: 0000866404,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,21000.0,
M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,,,PNS,308000.0,308000.0,0.0,DSF: 0000866404,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,308000.0,
M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",,,PNS,21000.0,21000.0,0.0,DSF: 0000866404,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,21000.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY17 RESO A ROOFTOP GARDEN,Scope,,,PNS,0.0,12572.0,6594.0,DSF: 0000845595,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,-inf,-6594.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY17 RESO A ROOFTOP GARDEN,Design,,,PNS,12000.0,5581.0,5581.0,DSF: 0000845595,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,53.0,6419.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY17 RESO A ROOFTOP GARDEN,Construction,,,PNS,176000.0,176000.0,188.0,DSF: 0000845595,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,175812.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY17 RESO A ROOFTOP GARDEN,"CM, F&E",,,PNS,12000.0,12000.0,4226.0,DSF: 0000845595,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,65.0,7774.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866424,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,,,PNS,4500.0,4500.0,0.0,DSF: 0000866424,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4500.0,
X089,P.S. 89 - BRONX,SCA CIP,FLOOD ELIMINATION,Design,,,PNS,106442.0,106442.0,0.0,DSF: 0000884892,False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,106442.0,
M834,HS FOR ENVIRONMENTAL STUDIES,SCA Furniture & Equi,FY15 RESO A MOBILE SCIENCE LAB,F&E,,,PNS,60000.0,60000.0,0.0,DSF: 0000800092,False,1,0,0,0,0,0,0,0,0,0,0,manhattan,100.0,60000.0,
M874,BARUCH COLLEGE CAMPUS HS - M,DOE- RESOA,FY15 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,275000.0,275000.0,0.0,DSF: 0000800428,False,0,0,0,1,0,0,1,0,0,0,0,manhattan,100.0,275000.0,
M877,NEW YORK HARBOR SCHOOL - MANHA,DOE- RESOA,FY13 RESO A SCIENCE LAB UPGRADES,Construction,,,PNS,455577.0,455577.0,0.0,DSF: 0000754573,False,0,0,0,1,0,0,1,0,0,0,0,manhattan,100.0,455577.0,
M894,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866433,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M894,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,,,PNS,6000.0,6000.0,0.0,DSF: 0000866433,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M894,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,,,PNS,88000.0,88000.0,0.0,DSF: 0000866433,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,88000.0,
M894,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",,,PNS,6000.0,6000.0,0.0,DSF: 0000866433,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866407,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,,,PNS,12000.0,12000.0,0.0,DSF: 0000866407,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,12000.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,,,PNS,176000.0,176000.0,0.0,DSF: 0000866407,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,176000.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",,,PNS,12000.0,12000.0,0.0,DSF: 0000866407,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,12000.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Design,,,PNS,24000.0,23898.0,410.0,DSF: 0000867223,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,98.0,23590.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,,,PNS,352000.0,352000.0,0.0,DSF: 0000867223,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,352000.0,
M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,"CM, F&E",,,PNS,24000.0,24000.0,1089.0,DSF: 0000867223,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,95.0,22911.0,
M044,I.S. 245 - MANHATTAN,SCA CIP RESOA,FY 15 RESO A GREENHOUSE,Scope,,,PNS,0.0,251.0,251.0,DSF: 0000800099,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,-inf,-251.0,
M044,I.S. 245 - MANHATTAN,SCA CIP RESOA,FY 15 RESO A GREENHOUSE,Design,,,PNS,12793.0,7849.0,1003.0,DSF: 0000800099,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,92.0,11790.0,
M044,I.S. 245 - MANHATTAN,SCA CIP RESOA,FY 15 RESO A GREENHOUSE,Construction,,,PNS,187631.0,118800.0,0.0,DSF: 0000800099,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,187631.0,
M044,I.S. 245 - MANHATTAN,SCA CIP RESOA,FY 15 RESO A GREENHOUSE,"CM, F&E",,,PNS,12793.0,8100.0,0.0,DSF: 0000800099,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,12793.0,
M044,P.S. 334 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867369,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M044,P.S. 334 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,,,PNS,4800.0,4800.0,0.0,DSF: 0000867369,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4800.0,
M044,P.S. 334 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,,,PNS,70400.0,70400.0,0.0,DSF: 0000867369,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,70400.0,
M044,P.S. 334 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",,,PNS,4800.0,4800.0,0.0,DSF: 0000867369,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4800.0,
M075,P.S. 75 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867196,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M075,P.S. 75 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,,,PNS,12000.0,12000.0,0.0,DSF: 0000867196,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,12000.0,
M075,P.S. 75 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,,,PNS,176000.0,176000.0,0.0,DSF: 0000867196,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,176000.0,
M075,P.S. 75 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",,,PNS,12000.0,12000.0,0.0,DSF: 0000867196,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,12000.0,
M084,I.S. 247 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867438,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M084,I.S. 247 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,,,PNS,4500.0,4500.0,0.0,DSF: 0000867438,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4500.0,
M084,I.S. 247 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,,,PNS,66000.0,66000.0,0.0,DSF: 0000867438,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,66000.0,
M084,I.S. 247 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",,,PNS,4500.0,4500.0,0.0,DSF: 0000867438,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4500.0,
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000888809,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Design,,,PNS,45000.0,45000.0,0.0,DSF: 0000888809,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,45000.0,
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Construction,,,PNS,660000.0,660000.0,0.0,DSF: 0000888809,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,660000.0,
M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,"CM, F&E",,,PNS,45000.0,45000.0,0.0,DSF: 0000888809,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,45000.0,
M087,P.S. 87 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000844933,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M087,P.S. 87 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,,,PNS,3900.0,25334.0,0.0,DSF: 0000844933,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,3900.0,
M087,P.S. 87 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,,,PNS,57200.0,371569.0,0.0,DSF: 0000844933,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,57200.0,
M087,P.S. 87 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",,,PNS,50259.0,46359.0,0.0,DSF: 0000844933,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,50259.0,
M088,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,ENY AUDITORIUM UPGRADE,Construction,,,PNS,265301.0,265301.0,7687.0,DSF: 0000865809,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,97.0,257614.0,
M088,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,ENY AUDITORIUM UPGRADE,"CM, F&E",,,PNS,61486.0,61486.0,3898.0,DSF: 0000865809,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,94.0,57588.0,
M088,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,,,PNS,301896.0,301896.0,188.0,DSF: 0000867041,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,301708.0,
M088,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",,,PNS,117602.0,117602.0,2680.0,DSF: 0000867041,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,98.0,114922.0,
X843,P.S. 246 - BRONX,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867212,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
X843,P.S. 246 - BRONX,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,,,PNS,18600.0,18600.0,0.0,DSF: 0000867212,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,18600.0,
X843,P.S. 246 - BRONX,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,,,PNS,272800.0,272800.0,0.0,DSF: 0000867212,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,272800.0,
X843,P.S. 246 - BRONX,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",,,PNS,18600.0,18600.0,0.0,DSF: 0000867212,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,18600.0,
