project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
10,X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,In-Progress,11/27/2017,IEH,,IEH,46420.0,7392.0,DSF: 0000049508,False
10,X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,06/01/2017,DOEL,,DOEL,800.0,0.0,DSF:,False
10,X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,In-Progress,07/14/2017,DOER,,84515,84515.0,84515.0,DSF: 0000845041,False
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,606.0,DSF: 0000866080,False
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,11/30/2017,DOES,,DOES,962300.0,0.0,DSF: 0000867029,True
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,In-Progress,07/12/2016,07/11/2018,,10108126,9180781.0,6970617.0,"DSF: 0000820291, 0000822171",False
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",In-Progress,07/12/2016,07/11/2018,,636575,518837.0,449797.0,"DSF: 0000820291, 0000822171",False
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/28/2017,02/15/2018,,1156096,1156096.0,9609.0,DSF: 0000798176,True
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,In-Progress,12/11/2017,03/20/2018,,110000,110000.0,0.0,DSF: 0000798176,True
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,08/07/2017,08/06/2019,,11825294,10697123.0,38572.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,08/07/2017,08/06/2019,,854515,54475.0,54475.0,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
2,M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,170000.0,2226.0,DSF: 0000866013,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Construction,In-Progress,06/28/2017,04/23/2018,,195941,127685.0,3944.0,DSF: 0000800742,False
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,"CM, F&E",In-Progress,06/28/2017,04/23/2018,,90128,99337.0,11260.0,DSF: 0000800742,False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,Construction,In-Progress,06/26/2017,12/17/2018,,4073625,3696547.0,25977.0,"DSF: 0000821944, 0000832931",False
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,6TH FLOOR EGRESS/FIRE ALARM,"CM, F&E",In-Progress,06/26/2017,12/17/2018,,253470,71597.0,71597.0,"DSF: 0000821944, 0000832931",False
2,M834,HS FOR ENVIRONMENTAL STUDIES -,DOE - Skilled Trades,COOLING TOWERS REPLACEMENT,Construction,In-Progress,03/11/2017,DOES,,DOES,523637.0,373469.0,DSF: 0000832950,False
2,M860,P.S. 343 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,676994.0,0.0,DSF: 0000776543,True
2,M883,HARVEST COLLEGIATE HIGH SCHOOL,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,14972.0,0.0,DSF: 0000777130,True
2,M920,SATELLITE ACADEMY - M,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,31644.0,0.0,DSF: 0000777132,True
3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,In-Progress,12/13/2017,02/13/2018,,0,102.0,102.0,DSF: 0000867223,True
3,M009,I.S. 243 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,126948.0,0.0,DSF: 0000777061,True
3,M009,P.S. 9 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,126948.0,0.0,DSF: 0000777060,True
3,M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,Construction,In-Progress,10/19/2016,07/15/2017,,1028695,1429405.0,1040361.0,DSF: 0000785205,False
3,M054,I.S. 54 - MANHATTAN,SCA CIP,MASONRY & GRANITE STEP DEFECTS,"CM, F&E",In-Progress,10/19/2016,07/15/2017,,238410,271713.0,253211.0,DSF: 0000785205,False
3,M054,I.S. 54 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,301650.0,0.0,DSF: 0000777087,True
3,M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Construction,In-Progress,06/13/2016,09/05/2017,,7528581,7348197.0,6373029.0,"DSF: 0000775607, 0000775608",False
3,M075,P.S. 75 - MANHATTAN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,"CM, F&E",In-Progress,06/13/2016,09/05/2017,,613272,645902.0,629266.0,"DSF: 0000775607, 0000775608",False
3,M075,P.S. 75 - MANHATTAN,Fast Track Projects,TEMPORARY BOILER,Construction,In-Progress,10/05/2015,FTK,,FTK,856639.0,338489.0,DSF: 0000823602,False
3,M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,Construction,In-Progress,08/07/2017,07/08/2018,,2964375,2724400.0,23468.0,DSF: 0000822215,False
3,M081,LYFE,SCA CIP,CTF-ROOM CONVERSION,"CM, F&E",In-Progress,08/07/2017,07/08/2018,,184450,88383.0,87920.0,DSF: 0000822215,False
3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,Construction,In-Progress,12/18/2017,11/12/2018,,2205500,2057027.0,27977.0,DSF: 0000776001,False
3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,RESO A GREENROOF,"CM, F&E",In-Progress,12/18/2017,11/12/2018,,150375,37834.0,37625.0,DSF: 0000776001,False
3,M084,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,02/01/2018,,100000,99249.0,99249.0,DSF: 0000844415,True
3,M084,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,02/05/2018,,35000,34738.0,34738.0,DSF: 0000845392,True
3,M087,P.S. 87 - MANHATTAN,DOE - Skilled Trades,PLANYC OIL CONVERSION PROJECT,Construction,In-Progress,10/17/2011,DOES,,DOES,4150.0,1150.0,DSF: 0000754323,False
3,M087,P.S. 87 - MANHATTAN,DOE - Skilled Trades,GYMNASIUM CEILING,Construction,In-Progress,06/30/2016,DOES,,DOES,84706.0,84706.0,DSF: 0000830939,False
3,M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Construction,In-Progress,07/24/2017,04/19/2018,,1434375,1338281.0,171240.0,DSF: 0000843677,False
3,M088,J.H.S. 860 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",In-Progress,07/24/2017,04/19/2018,,96697,66363.0,58065.0,DSF: 0000843677,False
3,M088,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,09/29/2017,03/28/2018,,28505,28505.0,10318.0,DSF: 0000867041,True
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,Construction,In-Progress,05/15/2017,08/07/2018,,2439972,2230892.0,2020506.0,"DSF: 0000777221, 0000799534",False
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,PARKING AREA LIGHTING/TCU REMOVAL AND PLAYGROUND,"CM, F&E",In-Progress,05/15/2017,08/07/2018,,323266,157415.0,156652.0,"DSF: 0000777221, 0000799534",False
10,X475,BRONX THEATRE HS - BRONX,SCA IEH,IEH PO18-RMS 146 & 148,Construction,In-Progress,07/17/2017,IEH,,IEH,990.0,490.0,DSF: 0000047667,False
10,X475,BRONX THEATRE HS - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,1676.0,DSF: 0000866081,False
10,X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,Construction,In-Progress,07/08/2016,12/24/2018,,12892738,11760993.0,4315187.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
10,X843,P.S. 246 - BRONX,SCA CIP,ELEVATOR/EXT MSNRY/FLOOD/ PARAPETS/ROOFS/WALL,"CM, F&E",In-Progress,07/08/2016,12/24/2018,,870048,399418.0,390856.0,"DSF: 0000025015, 0000751712, 0000797406, 0000797407, 0000797408, 0000797414",False
10,X843,P.S. 246 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,07/01/2016,07/01/2017,,DIIT,,0.0,DSF: 0000800265,True
10,X859,P.S. 315 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,30175.0,0.0,DSF: 0000777190,True
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Construction,In-Progress,07/10/2017,09/01/2020,,57083994,51637412.0,1561890.0,DSF: 0000821591,False
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,07/10/2017,09/01/2020,,8038566,2949638.0,409902.0,DSF: 0000821591,False
11,X021,P.S. 21 - BRONX,SCA IEH,"IEH PO18-RMS 221,223,225,222,226",Construction,In-Progress,12/06/2017,IEH,,IEH,1066.0,566.0,DSF: 0000049671,False
11,X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,Construction,In-Progress,05/08/2017,09/19/2018,,6169500,5727458.0,1100202.0,"DSF: 0000752360, 0000752361",False
11,X041,P.S. 41 - BRONX,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CONTROL,"CM, F&E",In-Progress,05/08/2017,09/19/2018,,383880,133430.0,132439.0,"DSF: 0000752360, 0000752361",False
11,X041,P.S. 41 - BRONX,SCA IEH,IEH PO18-1ST FL TILE FLOOR,Construction,In-Progress,08/15/2017,IEH,,IEH,2182.0,1682.0,DSF: 0000048188,False
11,X041,P.S. 41 - BRONX,DOE- RESOA,FY18 RESO A BATHROOM UPGRADE PROJECT,Construction,In-Progress,08/01/2017,DOER,,35000,327763.0,327763.0,DSF: 0000866318,True
11,X041,P.S. 41 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,07/25/2017,DOES,,DOES,114691.0,114691.0,DSF: 0000866060,False
11,X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,Construction,In-Progress,06/05/2017,09/07/2018,,2540098,2349150.0,228840.0,"DSF: 0000839883, 0000844082, 0000861830",False
11,X068,P.S. 68 - BRONX,SCA CIP,WATER INFILTRATION/EXT MASONRY/PAVED AREA-BLACKTOP,"CM, F&E",In-Progress,06/05/2017,09/07/2018,,329507,130808.0,130105.0,"DSF: 0000839883, 0000844082, 0000861830",False
11,X068,P.S. 68 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,1527.0,DSF: 0000866066,False
11,X076,P.S. 76 - BRONX,SCA IEH,"IEH PO18-RMS 411,407,262",Construction,In-Progress,09/20/2017,IEH,,IEH,67538.0,920.0,DSF: 0000048672,False
11,X083,P.S. 83 - BRONX,DOE - Skilled Trades,ACE HOT WATER HEATER,Construction,In-Progress,10/04/2016,DOES,,DOES,85661.0,85661.0,DSF: 0000818226,False
11,X087,P.S. 87 - BRONX,SCA CIP,FLOOD ELIMINATION/EXT MASONRY/WINDOWS/PARAPETS,Design,In-Progress,10/18/2017,03/23/2018,,302884,302884.0,51881.0,"DSF: 0000862191, 0000862194, 0000862195, 0000862196",True
11,X089,P.S. 89 - BRONX,SCA CIP,FLOOD ELIMINATION,Scope,In-Progress,12/18/2017,05/04/2018,,29030,29030.0,0.0,DSF: 0000884892,True
11,X089,P.S. 89 - BRONX,DOE- RESOA,RESO A AUDITORIUM SEATING,Construction,In-Progress,04/06/2017,DOER,,725000,725000.0,228312.0,DSF: 0000845590,False
11,X097,P.S. 97 - BRONX,SCA Capacity,ADDITION,Design,In-Progress,07/31/2017,02/12/2018,,5375375,5375375.0,610509.0,DSF: 0000798178,False
11,X097,P.S. 97 - BRONX,SCA Capacity,DETENTION TANK WORK,Design,In-Progress,10/23/2017,12/22/2017,,80000,80000.0,1025.0,DSF: 0000798178,True
11,X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,Construction,In-Progress,11/28/2017,04/27/2018,,422195,390528.0,2868.0,DSF: 0000798178,True
11,X097,P.S. 97 ADDITION - BRONX,SCA CIP,DEMOLITION,"CM, F&E",In-Progress,11/28/2017,04/27/2018,,97848,80711.0,25242.0,DSF: 0000798178,True
11,X103,P.S. 103 - BRONX,SCA IEH,IEH PO18-MAIN STAIRCASE A/C 4TH FL TO SUB BASEMENT,Construction,In-Progress,11/06/2017,IEH,,IEH,43579.0,1410.0,DSF: 0000049252,False
11,X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,Construction,In-Progress,05/15/2017,11/05/2018,,4756500,4356509.0,958979.0,"DSF: 0000795434, 0000818615",False
11,X105,P.S. 105 - BRONX,SCA CIP,WATER INFILTRATION/PARAPETS,"CM, F&E",In-Progress,05/15/2017,11/05/2018,,295960,180460.0,178438.0,"DSF: 0000795434, 0000818615",False
11,X105,P.S. 105 - BRONX,SCA IEH,IEH PO18-BACK CAFE,Construction,In-Progress,03/02/2016,IEH,,IEH,1546.0,1046.0,DSF: 0000040207,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,06/23/2017,03/19/2018,,759424,778178.0,315327.0,DSF: 0000822770,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",In-Progress,06/23/2017,03/19/2018,,51779,99978.0,99241.0,DSF: 0000822770,False
11,X111,P.S. 111 - BRONX,SCA CIP RESOA,FY17 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,Design,In-Progress,08/09/2017,12/27/2017,,20280,34146.0,21791.0,DSF: 0000844815,True
11,X111,P.S. 111 - BRONX,DOE- RESOA,FY13 RESO A LIBRARY UPGRADE,Construction,In-Progress,07/06/2016,DOER,,285000,68884.0,68884.0,DSF: 0000754684,False
11,X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,02/28/2017,08/21/2018,,6437250,6190398.0,1605299.0,"DSF: 0000795558, 0000798321",False
11,X112,P.S. 112 - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,02/28/2017,08/21/2018,,400540,259481.0,249358.0,"DSF: 0000795558, 0000798321",False
11,X113,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/02/2017,04/02/2018,,35755,35755.0,5043.0,DSF: 0000867071,True
3,M113,P.S. 241 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/CIMATE CONTROL,Construction,In-Progress,03/21/2016,06/13/2017,,5317944,5093694.0,4470254.0,"DSF: 0000718946, 0000731099",False
3,M113,P.S. 241 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/CIMATE CONTROL,"CM, F&E",In-Progress,03/21/2016,06/13/2017,,497882,507927.0,504667.0,"DSF: 0000718946, 0000731099",False
3,M113,P.S. 241 - MANHATTAN,SCA CIP,FLOOD ELIMINATION,Construction,In-Progress,10/21/2016,08/16/2017,,1504125,1436867.0,658317.0,DSF: 0000785769,False
3,M113,P.S. 241 - MANHATTAN,SCA CIP,FLOOD ELIMINATION,"CM, F&E",In-Progress,10/21/2016,08/16/2017,,93590,114676.0,112904.0,DSF: 0000785769,False
3,M118,P.S. 333 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Construction,In-Progress,08/19/2016,05/10/2018,,12542503,13179953.0,1891072.0,"DSF: 0000763231, 0000763232, 0000763233",False
3,M118,P.S. 333 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,"CM, F&E",In-Progress,08/19/2016,05/10/2018,,780422,459232.0,416551.0,"DSF: 0000763231, 0000763232, 0000763233",False
3,M118,I.S. 258 - MANHATTAN,DOE- RESOA,FY16 RESO A LOCKER UPGRADES,Construction,In-Progress,03/10/2017,DOER,,80000,45383.0,45383.0,DSF: 0000822835,False
3,M118,P.S. 333 - MANHATTAN,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,02/17/2017,DOER,,212338,212338.0,212338.0,DSF: 0000844184,False
3,M118,I.S. 258 - MANHATTAN,DOE- RESOA,FY17 RESO A ART ROOM RENOVATION,Construction,In-Progress,08/18/2017,DOER,,159722,159722.0,159722.0,DSF: 0000844189,False
3,M144,P.S. 242 - MANHATTAN,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Scope,In-Progress,12/21/2017,05/24/2018,,76655,76655.0,133.0,"DSF: 0000798379, 0000798381",True
3,M145,P.S. 145 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Construction,In-Progress,06/27/2014,09/19/2015,,3460812,3457356.0,3275679.0,"DSF: 0000775605, 0000775606",False
3,M145,P.S. 145 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,06/27/2014,09/19/2015,,233548,622630.0,617620.0,"DSF: 0000775605, 0000775606",True
3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ENY SUPPLEMENTAL COOLING,Design,In-Progress,09/28/2017,02/02/2018,,29585,29585.0,4284.0,DSF: 0000865806,True
3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,FY15 RESO A AUDITORIUM UPGRADE,Design,In-Progress,02/01/2017,07/03/2017,,35640,53942.0,30019.0,DSF: 0000800081,True
3,M145,P.S. 145 - MANHATTAN,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,08/23/2017,02/23/2018,,15600,14265.0,14265.0,DSF: 0000823552,True
3,M163,P.S. 163 - MANHATTAN,SCA CIP,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,Construction,In-Progress,06/22/2017,03/18/2018,,2747885,2491935.0,490866.0,DSF: 0000822265,False
3,M163,P.S. 163 - MANHATTAN,SCA CIP,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,"CM, F&E",In-Progress,06/22/2017,03/18/2018,,170979,258465.0,258024.0,DSF: 0000822265,False
3,M165,P.S. 165 - MANHATTAN,SCA CIP,EXT MASONRY/ROOFS,Construction,In-Progress,07/14/2015,10/05/2016,,7045076,6124417.0,4253072.0,"DSF: 0000777681, 0000799928",False
3,M165,P.S. 165 - MANHATTAN,SCA CIP,EXT MASONRY/ROOFS,"CM, F&E",In-Progress,07/14/2015,10/05/2016,,598414,774623.0,761652.0,"DSF: 0000777681, 0000799928",False
3,M165,P.S. 165 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,06/07/2017,07/07/2017,,35000,34737.0,34737.0,DSF: 0000845247,True
3,M165,P.S. 165 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,170000.0,1645.0,DSF: 0000866006,False
3,M166,P.S. 166 - MANHATTAN,SCA CIP,MASONRY,Scope,In-Progress,09/29/2017,02/20/2018,,75000,75000.0,5180.0,DSF: 0000852189,True
3,M166,P.S. 166 - MANHATTAN,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,07/31/2017,DOER,,327553,327553.0,295387.0,DSF: 0000844197,False
3,M180,P.S. 180 - MANHATTAN,DOE- RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Construction,In-Progress,07/10/2017,DOER,,115418,115418.0,115418.0,DSF: 0000844206,False
3,M185,P.S. 185 - MANHATTAN,SCA CIP,PLAY YARD SURFACE DEFECTS,Construction,In-Progress,09/18/2017,09/17/2018,,2621250,2373361.0,11761.0,DSF: 0000843698,False
3,M185,P.S. 185 - MANHATTAN,SCA CIP,PLAY YARD SURFACE DEFECTS,"CM, F&E",In-Progress,09/18/2017,09/17/2018,,163100,77910.0,77492.0,DSF: 0000843698,False
3,M185,P.S. 185 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,170000.0,1335.0,DSF: 0000866008,False
3,M191,THE RIVERSIDE SCHOOL FOR MAKER,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,10/12/2016,DOES,,DOES,58293.0,58293.0,DSF: 0000809992,False
3,M199,P.S. 199 - MANHATTAN,SCA IEH,"IEH PO18- ROOMS: 114, 116 AND 126",Construction,In-Progress,11/24/2017,IEH,,IEH,1278.0,778.0,DSF: 0000049494,False
